Drug ID,Drug Name,Generic Name,symptoms,dosageform,Neonates (0-28 days),Infants (1 month-1 year),toddlers (1-3 years),young children (3-12 years),Adolescents (12-18 years), Adults (18-60 years),Geriatrics (60+ years),Route of Administration,Side Effects,Contraindications,Warnings and Precautions,Manufacturer,Alternative 1,Alternative 2
79,Tamoxifen,Tamoxifen,Breast Cancer,Tablet,0.7 mg/kg once daily,1 mg/kg once daily,10-20 mg once daily,10-20 mg once daily,20-40 mg once daily,20-40 mg once daily,20-40 mg once daily,Oral,Hot flashes, Blood clots,Take with meals,CancerCare,Raloxifene,Toremifene
80,Latanoprost,Latanoprost,Glaucoma,Eye Drops,10-15 mcg/kg/day,4-6 mcg/kg/day,4-6 mcg/kg/day,4-6 mcg/kg/day,1.6 mcg/kg/day,25-200 mcg/day based on thyroid-stimulating hormone (TSH)  levels,25-200 mcg/day based on thyroid-stimulating hormone (TSH)  levels,Ophthalmic,Stinging, Darkening of iris,Use in the evening,EyeHealth,Bimatoprost,Travoprost
81,Ranitidine,Ranitidine,Gastric Ulcers,Tablet,Not recommended,Not recommended,Not recommended,10 mg once daily,10-40 mg once daily,10-40 mg once daily,"Start at lower dose, monitor liver function",Oral,Headache, Constipation,Long-term use: increased risk of fractures,MediCure,Famotidine,Omeprazole
82,Loratadine,Loratadine,Allergies,Tablet,Not recommended,Not recommended,Not recommended,"500 mg once daily, increase to 2000 mg/day max",500-2000 mg/day in divided doses,500-2000 mg/day in divided doses,"Caution in renal impairment, max dose based on kidney function",Oral,Drowsiness, Dry mouth,May cause drowsiness,ReliefAllergy,Cetirizine,Fexofenadine
83,Bimatoprost,Bimatoprost,Glaucoma,Eye Drops,Avoid unless prescribed,5-10 mg/kg every 6-8 hours,10 mg/kg every 6-8 hours (max 40 mg/kg/day),10 mg/kg every 6-8 hours (max 40 mg/kg/day),200-800 mg every 6-8 hours (max 3200 mg/day),200-800 mg every 6-8 hours (max 3200 mg/day),"Use lower dose, monitor kidney function",Ophthalmic,Stinging, Darkening of iris,Use in the evening,EyeHealth,Latanoprost,Travoprost
84,Lamotrigine,Lamotrigine,Epilepsy,Tablet,Not recommended,Not recommended,Use only if necessary (10-20 mg/kg/day),Use only if necessary (10-20 mg/kg/day),250-750 mg every 12 hours,250-750 mg every 12 hours,Adjust for renal function,Oral,Dizziness, Fatigue,May cause behavioral changes,NeuroCare,Valproate,Levetiracetam
85,Rosiglitazone,Rosiglitazone,Type 2 Diabetes,Tablet,Not recommended,Not recommended,Not commonly used,Not commonly used,Not commonly used,0.25-0.5 mg three times daily (max 4 mg/day),"Start at 0.25 mg twice daily, increase cautiously",Oral,Fluid retention, Weight gain,Take with or without food,DiabetesCare,Pioglitazone,Metformin
86,Citalopram,Citalopram,Depression,Tablet,1-2 mg/kg every 8-12 hours,2-4 mg/kg twice daily,2-4 mg/kg twice daily,2-4 mg/kg twice daily,150 mg twice daily or 300 mg once daily,150 mg twice daily or 300 mg once daily,Adjust for kidney function,Oral,Nausea, Insomnia,Avoid alcohol,EmotionEase,Escitalopram,Sertraline
87,Prednisone,Prednisone,Inflammatory Conditions,Tablet,Not recommended,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,10-80 mg once daily,"Start at lower dose, monitor liver function",Oral,Weight gain, Mood changes,Take with food or milk,InflammaCare,Methylprednisolone,Dexamethasone
88,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Asthma,Inhaler,25-50 mg/kg/day in divided doses,75-100 mg/kg/day divided every 6-8 hours,75-100 mg/kg/day divided every 6-8 hours,500 mg every 6-12 hours,500 mg every 6-12 hours,250-1000 mg every 6-12 hours,250-1000 mg every 6-12 hours,Inhalation, Hoarseness, Oral candidiasis,Use regularly for best results,RespireCare,Budesonide / Formoterol,Mometasone / Formoterol
89,Simvastatin,Simvastatin,Hyperlipidemia,Tablet,10-15 mg/kg every 6-8 hours (max 60 mg/kg/day),10-15 mg/kg every 4-6 hours (max 75 mg/kg/day),10-15 mg/kg every 4-6 hours (max 75 mg/kg/day),10-15 mg/kg every 4-6 hours (max 75 mg/kg/day),325-1000 mg every 4-6 hours (max 4 g/day),325-1000 mg every 4-6 hours (max 4 g/day),Use lower dose in liver impairment,Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaWell,Rosuvastatin,Atorvastatin
90,Ciprofloxacin,Ciprofloxacin,Bacterial Infections,Tablet,0.03-0.1 mg/kg every 3-4 hours,0.05-0.2 mg/kg every 4-6 hours,0.05-0.2 mg/kg every 4-6 hours,0.1-0.2 mg/kg every 4-6 hours,2.5-15 mg every 4 hours as needed,2.5-15 mg every 4 hours as needed,"Start with lowest effective dose, adjust based on response",Oral,Nausea, Diarrhea,Taking with dairy products: decreased absorption,MediPharm,Levofloxacin,Moxifloxacin
91,Hydrochlorothiazide / Lisinopril,Hydrochlorothiazide / Lisinopril,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,"0.25-0.5 mg once daily, max 3 mg/day",0.5-6 mg/day in divided doses,0.5-6 mg/day in divided doses,"Start at 0.5 mg/day, titrate slowly",Oral,Cough, Low blood pressure,Take with food or milk,HeartHealth,Losartan / Hydrochlorothiazide,Valsartan / Hydrochlorothiazide
92,Ondansetron,Ondansetron,Nausea and Vomiting,Tablet,Used for pulmonary hypertension (specialist dose),Used for pulmonary hypertension (specialist dose),20 mg three times daily,20 mg three times daily,20 mg three times daily,"25-100 mg as needed, max once daily","Start at 25 mg, adjust based on response",Oral,Drowsiness, Constipation,Take as directed by healthcare provider,NauseaRelief,Granisetron,Metoclopramide
93,Amiodarone,Amiodarone,Arrhythmias,Tablet,0.5-1 mg/kg every 12-24 hours,1 mg/kg every 6-12 hours,1 mg/kg every 6-12 hours,1-2 mg/kg every 6-12 hours,20-80 mg once daily or in divided doses,20-80 mg once daily or in divided doses,"Start with lowest effective dose, adjust based on response",Oral,Photosensitivity, Lung problems,Take with meals,CardioCare,Dofetilide,Sotalol
94,Drospirenone / Ethinyl Estradiol,Drospirenone / Ethinyl Estradiol,Contraception,Pill,0.5-1 mg/kg once daily,1 mg/kg once daily,10-20 mg once daily,10-20 mg once daily,20-40 mg once daily,20-40 mg once daily,"Start with lowest effective dose, adjust based on response",Oral,Nausea, Weight gain,Take at the same time each day,Women'sHealth,Levonorgestrel / Ethinyl Estradiol,Norgestimate / Ethinyl Estradiol
95,Warfarin,Warfarin,Blood Clots,Tablet,Not recommended,Not recommended,"0.2 mg/kg/day, adjust based on INR levels","0.2 mg/kg/day, adjust based on INR levels","2-10 mg once daily, adjust based on INR","2-10 mg once daily, adjust based on INR","Start at lower dose, monitor INR closely",Oral,Bleeding risk, Interactions with many drugs,Do not change diet drastically,HealthMeds,Apixaban,Rivaroxaban
96,Propranolol,Propranolol,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,1-2 mg/kg every 4-6 hours (max 400 mg/day),50-100 mg every 4-6 hours (max 400 mg/day),50-100 mg every 4-6 hours (max 400 mg/day),"Start at lower dose, max 300 mg/day",Oral,Low heart rate, Low blood pressure,Do not stop abruptly,CardioPharm,Metoprolol,Atenolol
97,Mirtazapine,Mirtazapine,Depression,Tablet,Not recommended,Not recommended,"10 mg once daily, max 20 mg/day","10 mg once daily, max 20 mg/day","10-20 mg once daily, max 80 mg/day","10-20 mg once daily, max 80 mg/day","Start at lower dose, monitor closely",Oral,Drowsiness, Increased appetite,Avoid alcohol,MoodEase,Trazodone,Bupropion
98,Fluoxetine,Fluoxetine,Depression,Capsule,Not recommended,Not recommended,10 mg/kg every 12 hours,10 mg/kg every 12 hours,250-750 mg once daily,250-750 mg once daily,Adjust based on renal function,Oral,Nausea, Insomnia,Avoid alcohol,EmotionCare,Sertraline,Escitalopram
99,Hydrochlorothiazide,Hydrochlorothiazide,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,0.05 mg/kg every 6-8 hours,0.5-2 mg every 6-8 hours,0.5-2 mg every 6-8 hours,"Start at 0.25 mg, adjust based on response",Oral,Dehydration, Electrolyte imbalances,Take with food or milk,DiureticCare,Chlorthalidone,Indapamide
100,Olanzapine,Olanzapine,Schizophrenia,Tablet,Not recommended,0.07 mg/kg once daily (max 25 mg/day),0.07 mg/kg once daily (max 25 mg/day),0.07–0.1 mg/kg once daily (max 50 mg/day),25–50 mg once daily,50–100 mg once daily,Start at 25 mg once daily,Oral,Drowsiness, Weight gain,May cause dizziness,MentalWellness,Quetiapine,Risperidone
101,Levothyroxine,Levothyroxine,Hypothyroidism,Tablet,10–15 mcg/kg/day,8–10 mcg/kg/day,6–8 mcg/kg/day,4–6 mcg/kg/day,1.6 mcg/kg/day,25–200 mcg/day,Start with lower dose (12.5–25 mcg/day),Oral,Tremor, Insomnia,Take on an empty stomach,EndoPharm,Liothyronine,Desiccated Thyroid
102,Quetiapine,Quetiapine,Schizophrenia,Tablet,Not recommended,Not recommended,Not recommended,25–50 mg/day,50–300 mg/day,150–800 mg/day,"Start with 25 mg/day, increase slowly",Oral,Drowsiness, Weight gain,May cause dizziness,MentalWellness,Olanzapine,Risperidone
103,Prednisone,Prednisone,Inflammatory Conditions,Tablet,Not recommended,0.5–2 mg/kg/day,0.5–2 mg/kg/day,0.5–2 mg/kg/day,5–60 mg/day,5–60 mg/day,Start with lowest effective dose,Oral,Weight gain, Mood changes,Take with food or milk,InflammaCare,Methylprednisolone,Dexamethasone
104,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Asthma,Inhaler,Not recommended,Not recommended,50/25 mcg BID,100/50 mcg BID,100/50 mcg BID,250/50 mcg BID,250/50 mcg BID,Inhalation, Hoarseness, Oral candidiasis,Use regularly for best results,RespireCare,Budesonide / Formoterol,Mometasone / Formoterol
105,Simvastatin,Simvastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,"2.5–5 mg twice daily, max 60 mg/day","5–10 mg twice daily, max 60 mg/day","5–10 mg twice daily, max 60 mg/day","Start at 5 mg once daily, max 40 mg/day",Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaWell,Rosuvastatin,Atorvastatin
106,Ciprofloxacin,Ciprofloxacin,Bacterial Infections,Tablet,Not recommended,Not recommended,Not recommended,5 mg once daily,5–20 mg once daily,5–40 mg once daily,5 mg once daily,Oral,Nausea, Diarrhea,Taking with dairy products: decreased absorption,MediPharm,Levofloxacin,Moxifloxacin
107,Hydrochlorothiazide / Lisinopril,Hydrochlorothiazide / Lisinopril,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,75–150 mg BID,150–300 mg/day,Start at 75 mg/day,Oral,Cough, Low blood pressure,Take with food or milk,HeartHealth,Losartan / Hydrochlorothiazide,Amlodipine / Valsartan
108,Ondansetron,Ondansetron,Nausea and Vomiting,Tablet,20–50 mg/kg/day,20–50 mg/kg/day,20–50 mg/kg/day,50–100 mg/kg/day,1–2 g/day,1–2 g/day,1–2 g/day,Oral,Drowsiness, Constipation,Take as directed by healthcare provider,NauseaRelief,Granisetron,Palonosetron
109,Amiodarone,Amiodarone,Arrhythmias,Tablet,0.5–1 mcg/kg IV every 2–4 hrs,0.5–1 mcg/kg IV every 2–4 hrs,2 mcg/kg IV every 2–4 hrs,2 mcg/kg IV every 2–4 hrs,12.5–25 mcg patch every 72 hrs,25–100 mcg patch every 72 hrs,12.5–25 mcg patch every 72 hrs,Oral,Photosensitivity, Lung problems,Take with meals,CardioCare,Sotalol,Dronedarone
110,Drospirenone / Ethinyl Estradiol,Drospirenone / Ethinyl Estradiol,Contraception,Pill,Not recommended,Not recommended,0.5–1 mg/kg once daily (max 12.5 mg/day),0.5–2 mg/kg once daily (max 25 mg/day),12.5–25 mg once daily,12.5–50 mg once daily,Start at 12.5 mg once daily,Oral,Nausea, Weight gain,Take at the same time each day,Women'sHealth,,Levonorgestrel / Ethinyl Estradiol
111,Warfarin,Warfarin,Blood Clots,Tablet,Not recommended,Not recommended,Not recommended,"5 mg once daily, max 10 mg/day","10 mg once daily, max 20 mg/day",10–20 mg once daily,Start at 5–10 mg once daily,Oral,Bleeding risk, Interactions with many drugs,Do not change diet drastically,HealthMeds,Apixaban,Rivaroxaban
112,Propranolol,Propranolol,Hypertension,Tablet,Not recommended,0.1–0.3 mg/kg once daily (max 5 mg/day),0.1–0.6 mg/kg once daily (max 5 mg/day),2.5–5 mg once daily,2.5–10 mg once daily,5–10 mg once daily,Start at 2.5 mg once daily,Oral,Low heart rate, Low blood pressure,Do not stop abruptly,CardioPharm,Metoprolol,Atenolol
113,Mirtazapine,Mirtazapine,Depression,Tablet,Not recommended,Not recommended,Not recommended,"7.5 mg once daily, max 30 mg/day","15 mg once daily, max 45 mg/day",15–45 mg once daily,Start at 7.5–15 mg once daily,Oral,Drowsiness, Increased appetite,Avoid alcohol,MoodEase,Amitriptyline,Trazodone
114,Fluoxetine,Fluoxetine,Depression,Capsule,Not recommended,Not recommended,Not recommended,25–50 mg once daily,50–100 mg once daily,50–200 mg once daily,Start at 25–50 mg once daily,Oral,Nausea, Insomnia,Avoid alcohol,EmotionCare,Escitalopram,Sertraline
115,Hydrochlorothiazide,Hydrochlorothiazide,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,10 mg once daily,10–40 mg once daily,10–40 mg once daily,"10 mg once daily, monitor liver function",Oral,Dehydration, Electrolyte imbalances,Take with food or milk,DiureticCare,Chlorthalidone,Indapamide
116,Olanzapine,Olanzapine,Schizophrenia,Tablet,Not recommended,Not recommended,Not recommended,"2–5 mg once daily, max 15 mg/day","5–10 mg once daily, max 30 mg/day",10–30 mg once daily,Start at 2–5 mg once daily,Oral,Drowsiness, Weight gain,May cause dizziness,MentalWellness,Aripiprazole,Quetiapine
117,Levothyroxine,Levothyroxine,Hypothyroidism,Tablet,10–15 mcg/kg/day,8–10 mcg/kg/day,6–8 mcg/kg/day,4–6 mcg/kg/day,1.6 mcg/kg/day,25–200 mcg/day,Start with lower dose (12.5–25 mcg/day),Oral,Tremor, Insomnia,Take on an empty stomach,EndoPharm,Liothyronine,Desiccated Thyroid
118,Quetiapine,Quetiapine,Schizophrenia,Tablet,Not recommended,Not recommended,Not recommended,25–50 mg/day,50–300 mg/day,150–800 mg/day,"Start with 25 mg/day, increase slowly",Oral,Drowsiness, Weight gain,May cause dizziness,MentalWellness,Olanzapine,Risperidone
119,Prednisone,Prednisone,Inflammatory Conditions,Tablet,Not recommended,0.5–2 mg/kg/day,0.5–2 mg/kg/day,0.5–2 mg/kg/day,5–60 mg/day,5–60 mg/day,Start with lowest effective dose,Oral,Weight gain, Mood changes,Take with food or milk,InflammaCare,Methylprednisolone,Dexamethasone
120,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Asthma,Inhaler,Not recommended,Not recommended,50/25 mcg BID,100/50 mcg BID,100/50 mcg BID,250/50 mcg BID,250/50 mcg BID,Inhalation, Hoarseness, Oral candidiasis,Use regularly for best results,RespireCare,Budesonide / Formoterol,Mometasone / Formoterol
121,Simvastatin,Simvastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,10 mg/day,5–40 mg/day,Start with 5 mg/day,Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaWell,Rosuvastatin,Atorvastatin
122,Amoxicillin / Clavulanate,Amoxicillin / Clavulanate,Bacterial Infections,Tablet,20–40 mg/kg/day,20–40 mg/kg/day,20–40 mg/kg/day,20–40 mg/kg/day,500 mg BID,500–875 mg BID,Adjust for renal function,Oral,Nausea, Diarrhea,Take with food to reduce stomach upset,MediPharm,Cefuroxime,Levofloxacin
123,Lisinopril,Lisinopril,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,0.07 mg/kg/day,2.5–5 mg/day,10–40 mg/day,Start with 2.5–5 mg/day,Oral,Cough, Kidney problems,Monitor kidney function regularly,HealthMeds,Enalapril,Ramipril
124,Albuterol,Albuterol,Asthma,Inhaler,0.01–0.03 mg/kg/dose,0.1–0.15 mg/kg/dose,0.1–0.15 mg/kg/dose,2.5 mg/dose,2.5–5 mg/dose,2.5–5 mg/dose,2.5–5 mg/dose,Inhalation,Tremor, Rapid heart rate,Use as needed for acute asthma symptoms,RespirePharma,Levalbuterol,Terbutaline
125,Omeprazole,Omeprazole,Acid Reflux,Capsule,0.7 mg/kg/day,1 mg/kg/day,1 mg/kg/day,10 mg/day,20 mg/day,20–40 mg/day,Start with 10 mg/day,Oral,Headache, Abdominal pain,Take before a meal,MediCare,Pantoprazole,Esomeprazole
126,Atenolol,Atenolol,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,0.5–1 mg/kg/day,25–50 mg/day,25–100 mg/day,Start with 25 mg/day,Oral,Low heart rate, Low blood pressure,Do not stop abruptly,CardioPharm,Bisoprolol,Metoprolol
127,Citalopram,Citalopram,Depression,Tablet,Not recommended,Not recommended,Not recommended,10 mg/day,10–40 mg/day,10–40 mg/day,Start with 10 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,EmotionEase,Escitalopram,Sertraline
128,Esomeprazole,Esomeprazole,Acid Reflux,Capsule,0.5 mg/kg/day,1 mg/kg/day,1 mg/kg/day,10 mg/day,20 mg/day,20–40 mg/day,Start with 10 mg/day,Oral,Headache, Abdominal pain,Take before a meal,MediCare,Pantoprazole,Pantoprazole
129,Losartan,Losartan,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,0.7 mg/kg/day,25–50 mg/day,50–100 mg/day,Start with 25 mg/day,Oral,Cough, Low blood pressure,Take with or without food,HeartHealth,Telmisartan,Valsartan
130,Venlafaxine,Venlafaxine,Depression,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,37.5–225 mg/day,75–375 mg/day,Start with 37.5 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,EmotionCare,Desvenlafaxine,Duloxetine
131,Ranitidine,Ranitidine,Gastric Ulcers,Tablet,2 mg/kg BID,2 mg/kg BID,2 mg/kg BID,2–4 mg/kg BID,150 mg BID,150 mg BID,"Use caution, adjust for renal function",Oral,Headache, Constipation,Long-term use: increased risk of fractures,MediCure,Famotidine,Famotidine
132,Loratadine,Loratadine,Allergies,Tablet,Not recommended,5 mg/day,5 mg/day,5 mg/day,10 mg/day,10 mg/day,10 mg/day,Oral,Drowsiness (less common), Dry mouth,May cause drowsiness: use caution while driving,AllergyRelief,Cetirizine,Fexofenadine
133,Carvedilol,Carvedilol,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,3.125 mg BID,6.25–25 mg BID,6.25–25 mg BID,Start with 3.125 mg BID,Oral,Dizziness, Low blood pressure,Take with food,CardioPharm,Bisoprolol,Metoprolol
134,Sertraline,Sertraline,Depression,Tablet,Not recommended,Not recommended,Not recommended,12.5–25 mg/day,50–200 mg/day,50–200 mg/day,Start with 25 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,MoodEase,Fluoxetine,Escitalopram
135,Duloxetine,Duloxetine,Depression,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,30–120 mg/day,30–120 mg/day,Start with 30 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,EmotionCare,Venlafaxine,Milnacipran
136,Bupropion,Bupropion,Depression,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,150–450 mg/day,150–450 mg/day,Start with 75–150 mg/day,Oral,Insomnia, Weight loss,Do not take at bedtime,MoodEase,Nortriptyline,Varenicline
137,Lovastatin,Lovastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,10-80 mg once daily,"Start at lower dose, monitor liver function",Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaWell,Atorvastatin,Rosuvastatin
138,Clonazepam,Clonazepam,Anxiety,Tablet,25-50 mg/kg/day in divided doses,75-100 mg/kg/day divided every 6-8 hours,75-100 mg/kg/day divided every 6-8 hours,500 mg every 6-12 hours,500 mg every 6-12 hours,250-1000 mg every 6-12 hours,250-1000 mg every 6-12 hours,Oral,Drowsiness, Dizziness,Do not stop abruptly,MentalWellness,Lorazepam,Diazepam
139,Paroxetine,Paroxetine,Depression,Tablet,10-15 mg/kg every 6-8 hours (max 60 mg/kg/day),10-15 mg/kg every 4-6 hours (max 75 mg/kg/day),10-15 mg/kg every 4-6 hours (max 75 mg/kg/day),10-15 mg/kg every 4-6 hours (max 75 mg/kg/day),325-1000 mg every 4-6 hours (max 4 g/day),325-1000 mg every 4-6 hours (max 4 g/day),Use lower dose in liver impairment,Oral,Nausea, Insomnia,Avoid alcohol,MoodEase,Escitalopram,Sertraline
140,Hydrochlorothiazide,Hydrochlorothiazide,Hypertension,Tablet,0.03-0.1 mg/kg every 3-4 hours,0.05-0.2 mg/kg every 4-6 hours,0.05-0.2 mg/kg every 4-6 hours,0.1-0.2 mg/kg every 4-6 hours,2.5-15 mg every 4 hours as needed,2.5-15 mg every 4 hours as needed,"Start with lowest effective dose, adjust based on response",Oral,Dehydration, Electrolyte imbalances,Take with food or milk,DiureticCare,Chlorthalidone,Indapamide
141,Olanzapine,Olanzapine,Schizophrenia,Tablet,Not recommended,Not recommended,Not recommended,"0.25-0.5 mg once daily, max 3 mg/day",0.5-6 mg/day in divided doses,0.5-6 mg/day in divided doses,"Start at 0.5 mg/day, titrate slowly",Oral,Drowsiness, Weight gain,May cause dizziness,MentalWellness,Quetiapine,Aripiprazole
142,Levothyroxine,Levothyroxine,Hypothyroidism,Tablet,10–15 mcg/kg/day,8–10 mcg/kg/day,6–8 mcg/kg/day,4–6 mcg/kg/day,1.6 mcg/kg/day,25–200 mcg/day,Start with lower dose (12.5–25 mcg/day),Oral,Tremor, Insomnia,Take on an empty stomach,EndoPharm,Liothyronine,Desiccated Thyroid
143,Quetiapine,Quetiapine,Schizophrenia,Tablet,Not recommended,Not recommended,Not recommended,25–50 mg/day,50–300 mg/day,150–800 mg/day,"Start with 25 mg/day, increase slowly",Oral,Drowsiness, Weight gain,May cause dizziness,MentalWellness,Olanzapine,Risperidone
144,Prednisone,Prednisone,Inflammatory Conditions,Tablet,Not recommended,0.5–2 mg/kg/day,0.5–2 mg/kg/day,0.5–2 mg/kg/day,5–60 mg/day,5–60 mg/day,Start with lowest effective dose,Oral,Weight gain, Mood changes,Take with food or milk,InflammaCare,Dexamethasone,Methylprednisolone
145,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Asthma,Inhaler,Not recommended,Not recommended,50/25 mcg BID,100/50 mcg BID,100/50 mcg BID,250/50 mcg BID,250/50 mcg BID,Inhalation, Hoarseness, Oral candidiasis,Use regularly for best results,RespireCare,Budesonide / Formoterol,Mometasone / Formoterol
146,Simvastatin,Simvastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,10 mg/day,5–40 mg/day,Start with 5 mg/day,Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaWell,Atorvastatin,Rosuvastatin
147,Amoxicillin,Amoxicillin,Bacterial Infections,Capsule,20–40 mg/kg/day,20–40 mg/kg/day,20–40 mg/kg/day,20–40 mg/kg/day,500 mg BID,500–875 mg BID,Adjust for renal function,Oral,Nausea, Allergic reactions,Take with food to reduce stomach upset,MediPharm,Azithromycin,Cephalexin
148,Lisinopril,Lisinopril,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,0.07 mg/kg/day,2.5–5 mg/day,10–40 mg/day,Start with 2.5–5 mg/day,Oral,Cough, Kidney problems,Monitor kidney function regularly,HealthMeds,Ramipril,Enalapril
149,Albuterol,Albuterol,Asthma,Inhaler,0.01–0.03 mg/kg/dose,0.1–0.15 mg/kg/dose,0.1–0.15 mg/kg/dose,2.5 mg/dose,2.5–5 mg/dose,2.5–5 mg/dose,2.5–5 mg/dose,Inhalation,Tremor, Rapid heart rate,Use as needed for acute asthma symptoms,RespirePharma,Levalbuterol,Terbutaline
150,Omeprazole,Omeprazole,Acid Reflux,Capsule,0.7 mg/kg/day,1 mg/kg/day,1 mg/kg/day,10 mg/day,20 mg/day,20–40 mg/day,Start with 10 mg/day,Oral,Headache, Abdominal pain,Take before a meal,MediCare,Esomeprazole,Pantoprazole
151,Atenolol,Atenolol,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,0.5–1 mg/kg/day,25–50 mg/day,25–100 mg/day,Start with 25 mg/day,Oral,Low heart rate, Low blood pressure,Do not stop abruptly,CardioPharm,Metoprolol,Bisoprolol
152,Citalopram,Citalopram,Depression,Tablet,Not recommended,Not recommended,Not recommended,10 mg/day,10–40 mg/day,10–40 mg/day,Start with 10 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,MoodEase,Escitalopram,Sertraline
153,Esomeprazole,Esomeprazole,Acid Reflux,Capsule,0.5 mg/kg/day,1 mg/kg/day,1 mg/kg/day,10 mg/day,20 mg/day,20–40 mg/day,Start with 10 mg/day,Oral,Headache, Abdominal pain,Take before a meal,MediCare,Pantoprazole,Rabeprazole
154,Losartan,Losartan,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,0.7 mg/kg/day,25–50 mg/day,50–100 mg/day,Start with 25 mg/day,Oral,Cough, Low blood pressure,Take with or without food,HeartHealth,Valsartan,Telmisartan
155,Venlafaxine,Venlafaxine,Depression,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,37.5–225 mg/day,75–375 mg/day,Start with 37.5 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,EmotionCare,Duloxetine,Desvenlafaxine
156,Ranitidine,Ranitidine,Gastric Ulcers,Tablet,2 mg/kg BID,2 mg/kg BID,2 mg/kg BID,2–4 mg/kg BID,150 mg BID,150 mg BID,"Use caution, adjust for renal function",Oral,Headache, Constipation,Long-term use: increased risk of fractures,MediCure,Famotidine,Cimetidine
157,Loratadine,Loratadine,Allergies,Tablet,Not recommended,5 mg/day,5 mg/day,5 mg/day,10 mg/day,10 mg/day,10 mg/day,Oral,Drowsiness (less common), Dry mouth,May cause drowsiness: use caution while driving,AllergyRelief,Cetirizine,Fexofenadine
158,Carvedilol,Carvedilol,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,3.125 mg BID,6.25–25 mg BID,6.25–25 mg BID,Start with 3.125 mg BID,Oral,Dizziness, Low blood pressure,Take with food,CardioPharm,Metoprolol,Bisoprolol
159,Sertraline,Sertraline,Depression,Tablet,Not recommended,Not recommended,Not recommended,12.5–25 mg/day,50–200 mg/day,50–200 mg/day,Start with 25 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,MoodEase,Fluoxetine,Escitalopram
160,Duloxetine,Duloxetine,Depression,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,30–120 mg/day,30–120 mg/day,Start with 30 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,EmotionCare,Venlafaxine,Milnacipran
161,Bupropion,Bupropion,Depression,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,150–450 mg/day,150–450 mg/day,Start with 75–150 mg/day,Oral,Insomnia, Weight loss,Do not take at bedtime,MoodEase,Varenicline,Nortriptyline
162,Lovastatin,Lovastatin,Hyperlipidemia,Tablet,Not recommended,0.1–0.3 mg/kg once daily (max 5 mg/day),0.1–0.6 mg/kg once daily (max 5 mg/day),2.5–5 mg once daily,2.5–10 mg once daily,5–10 mg once daily,Start at 2.5 mg once daily,Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaWell,Atorvastatin,Pravastatin
163,Clonazepam,Clonazepam,Anxiety,Tablet,Not recommended,Not recommended,Not commonly used,Not commonly used,Not commonly used,0.25-0.5 mg three times daily (max 4 mg/day),"Start at 0.25 mg twice daily, increase cautiously",Oral,Drowsiness, Dizziness,Do not stop abruptly,MentalWellness,Lorazepam,Diazepam
